식당이름,식당설명,식당설명요약,전화번호,소재지주소,좌석,주차,휴무일,분류
이천영양돌솥밥,이천영양돌솥밥은 균형 잡힌 영양 식단과 신토불이 음식을 고집스럽게 지켜온 한정식 식당이다. 손이 많이 가는 한정식을 같은 자리에서 27년간이나 운영했다는 것만 봐도 사장님의 한정식에 대한 집념과 애정이 오롯이 느껴진다.,건강하고 맛있는 돌솥밥 영양 한정식,031-408-2008,경기도 안산시 상록구 항가울로 7,"좌석 1층 30석, 2층 60석",인근 주차 가능,명절,한식
청대문,"예나 지금이나, 일상의 피로에 지치고 무더위로 입맛을 잃었을 때  우리 입맛을 돋우는 음식은 자연의 선물인 채소와 나물이다.  풋풋하고 쌉싸래한가 싶으면서도 부드럽고 달콤한 맛.  그중에서도 강원도 고지에서 자생하는 곤드레와 질경이는 이름만 들어도 건강한 자연의 맛이 느껴진다.  곤드레나물을 비롯해 푸릇한 자연으로 맛을 내는 귀한 식당이 바로 청대문이다.",사랑과 정성으로 빚은 곤드레나물 한 상,031-403-5545,경기도 안산시 상록구 본삼로 11 빛나프라자 2층,좌석 200석,유료주차장,"설날, 추석 당일 휴무",한식
토담,토담은 강원도 토속음식을 전문으로 다루는 음식점이다.  강원도 출신 사장님의 정성 어린 음식을 제대로 맛볼 수 있는 곳.  음식 만들기를 즐겼던 만큼 손맛 좋은 사장님이 어릴 때 먹었던  강원도 음식을 손님의 입맛에 맞게 재해석해 내놓는 20년 전통의 건강 만점 영양음식점이다.,강원도 토속음식의 모든 것,031-438-7246,경기도 안산시 상록구 서암로4길 35,72석,주차_식당 앞 공영주차장,"첫째, 셋째 주 일요일",한식
갈비락,"우리에게 갈비=행복의 등식을 자동입력시켰던 숯불갈비의 매력은  갈비 맛과 숯불 멋과 함께하는 가족, 친구, 동료들의 모습일 것이다.  ‘이동 갈비락’은 갈비락을 찾는 고객들에게 오래전부터  ‘갈비=즐거움(락)’의 맛있는 행복을 전해주고 있는 맛있는 갈비맛집이다.",수제소스로 숙성한 왕갈비의 참맛,031-408-9595,"경기도 안산시 상록구 석호로 101-1, 1층(사동)",2층 100석 3층 100석,1층 전용,명절,한식
쉐프의 정육식당,국내에 몇 안 되는 워터에이징 처리를 한 무항생제 고기를 연탄불에 구워 먹는 고기전문점이 있다.  이름도 특별한 쉐프의 정육식당이다. 이곳에서 판매하는 고기는 섭씨 0도에서 3주 숙성하여  카텝신이라는 자체 효소 작용으로 육질이 부드럽고 풍미가 우러나 단골과 메니아들을 확보하고 있는 곳이다.,최고급 금돼지·숙성소고기 숯불구이 맛집,031-417-1004,경기도 안산시 상록구 감골1로 35 월드스포션 1층,40석,건물 전용,명절,한식
엄마손손두부,"“아, 이 반가운 것은 무엇인가 / 이 하수무레하고 부드럽고 수수하고 슴슴한 것은 무엇인가” 백석 시인의 ‘국수’라는 유명한 시의 한 대목이 ‘두부’로 읽힌다.  두부에 대한 향수 때문이다. 입안을 가득 채우는 부드러운 질감과 고소함이 일품인 두부전문점! 바로 ‘엄마손순두부’이다",어머니 손맛으로 빚은 맛있는 두부 요리의 진수,031-501-1530,경기도 안산시 상록구 각골서로 6,60석,주차장 주변,첫째 셋째주 일요일,한식
거북이쌈밥,"거북이쌈밥은 연잎 쌈밥에 14가지 쌈채소를 곁들여 먹는 쌈밥전문점이다.  부와 장수를 상징하는 거북이처럼 느리고 여유롭게 친구, 가족, 단체손님이  오순도순 담소를 나누면서 맛있고 건강한 한 끼를 즐길 수 있다. 가성비가 최고 수준이다.",가성비 최고의 연잎쌈밥과 엄지 척 식도락 간장게장,031-319-7730,경기도 안산시 단원구 대쟁이길 17,80석,가능,명절,한식
진미샤브샤브칼국수,손맛 좋고 금슬 좋은 두 분 사장님이 음식도 홀서빙도 직접 다하는 곳으로직원을 쓰지 않는 비용을 손님들께 맛과 가격으로 보답하는 소문난 샤브샤브 맛집이다.특히 진심과 정성스러움이 감동인 곳이다.,맛과 가격으로 보답하는 소문난 샤브샤브 맛집,031-418-7922,경기도 안산시 상록구 감골공원 안길 1(사동),좌식 44석 매주 월요일 주변,주변,매주 월요일,한식
대풍 진국순대,"시래기국밥, 콩나물국밥, 쇠머리국밥, 순대국밥! 국밥이라 이름 불리는 음식은  대체로 서민적인 것으로 시골 장터가 떠올라 더 구수하고 더 친근하게 느껴진다.  대풍 진국순대는 상호이름 그대로 음식점 사장님의 정성이 진국으로 들어간  시골 장터에서 먹던 맛있는 국물 맛이 일품인 국밥 전문점이다.",푹 고운 진국 대국의 참맛,031-416-6162,경기도 안산시 상록구 도매시장로 29,70석,도매시장주차장,명절,한식
명태마루,명태조림의 맛있는 기억은 꾸덕하고 쫄깃쫄깃한 매혹의 식감이 한몫 한다고 할 것이다.  그러나 양념이 잘 배어들지 않아서 누구나 맛있게 요리해내기는 힘들다는 명태조림을  누구나 좋아할 수 있도록 맛있게 내놓는 매콤 명태조림 전문점으로 소문난 곳이 있다. 명태마루이다.,가성비갑 명태·생선요리 맛집,031-415-4181,경기도 안산시 상록구 항가울로 29,52개,주변,월요일,한식
